[[3, 0, 0, 0], [4, 2, 0, 2], [4, 2, 0, 2], [3, 0, 1, 3]]
         431909 function calls (431762 primitive calls) in 0.230 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       32    0.000    0.000    0.176    0.005 0h_n0.py:109(count_blues)
        1    0.000    0.000    0.228    0.228 0h_n0.py:148(solve)
        1    0.000    0.000    0.002    0.002 0h_n0.py:154(<listcomp>)
        1    0.000    0.000    0.006    0.006 0h_n0.py:159(<listcomp>)
        1    0.000    0.000    0.094    0.094 0h_n0.py:163(<listcomp>)
        1    0.000    0.000    0.094    0.094 0h_n0.py:168(<listcomp>)
        1    0.000    0.000    0.004    0.004 0h_n0.py:174(<listcomp>)
        1    0.000    0.000    0.001    0.001 0h_n0.py:183(<listcomp>)
       32    0.000    0.000    0.040    0.001 0h_n0.py:19(sum_left)
       32    0.000    0.000    0.040    0.001 0h_n0.py:38(sum_right)
       32    0.000    0.000    0.085    0.003 0h_n0.py:5(row_sum)
       32    0.000    0.000    0.086    0.003 0h_n0.py:57(col_sum)
       32    0.000    0.000    0.040    0.001 0h_n0.py:71(sum_top)
       32    0.000    0.000    0.041    0.001 0h_n0.py:90(sum_bottom)
        1    0.000    0.000    0.230    0.230 <string>:1(<module>)
       16    0.000    0.000    0.000    0.000 cp1252.py:14(decode)
        2    0.000    0.000    0.000    0.000 cp1252.py:18(encode)
      416    0.001    0.000    0.006    0.000 z3.py:1041(_to_expr_ref)
     2656    0.002    0.000    0.030    0.000 z3.py:1088(_coerce_expr_merge)
       16    0.000    0.000    0.000    0.000 z3.py:109(to_symbol)
      992    0.003    0.000    0.100    0.000 z3.py:1106(_coerce_exprs)
      464    0.000    0.000    0.012    0.000 z3.py:1118(_reduce)
      336    0.001    0.000    0.033    0.000 z3.py:1124(_coerce_expr_list)
      336    0.000    0.000    0.021    0.000 z3.py:1133(<listcomp>)
     7221    0.002    0.000    0.002    0.000 z3.py:1135(is_expr)
       16    0.000    0.000    0.000    0.000 z3.py:1157(is_app)
      466    0.000    0.000    0.000    0.000 z3.py:126(_get_args)
      400    0.002    0.000    0.078    0.000 z3.py:1268(If)
       96    0.000    0.000    0.001    0.000 z3.py:1313(_mk_bin)
      976    0.002    0.000    0.027    0.000 z3.py:1392(cast)
     1152    0.002    0.000    0.014    0.000 z3.py:1426(sort)
      402    0.001    0.000    0.004    0.000 z3.py:1553(BoolSort)
      224    0.000    0.000    0.002    0.000 z3.py:1570(BoolVal)
      240    0.000    0.000    0.000    0.000 z3.py:1693(_has_probe)
       16    0.000    0.000    0.002    0.000 z3.py:1700(And)
        1    0.000    0.000    0.001    0.001 z3.py:172(__init__)
      224    0.001    0.000    0.028    0.000 z3.py:1732(Or)
    51477    0.006    0.000    0.006    0.000 z3.py:196(ref)
       17    0.000    0.000    0.001    0.000 z3.py:211(main_ctx)
      720    0.000    0.000    0.003    0.000 z3.py:2145(is_int)
     2144    0.003    0.000    0.063    0.000 z3.py:2163(cast)
     2896    0.004    0.000    0.034    0.000 z3.py:2217(sort)
       16    0.000    0.000    0.000    0.000 z3.py:2227(is_int)
       96    0.000    0.000    0.010    0.000 z3.py:2252(__add__)
    10949    0.002    0.000    0.002    0.000 z3.py:231(_get_ctx)
       16    0.000    0.000    0.002    0.000 z3.py:2446(__le__)
      192    0.001    0.000    0.020    0.000 z3.py:2472(__gt__)
       32    0.000    0.000    0.003    0.000 z3.py:2485(__ge__)
       16    0.000    0.000    0.000    0.000 z3.py:2498(is_arith)
       16    0.000    0.000    0.000    0.000 z3.py:2554(_is_numeral)
       16    0.000    0.000    0.001    0.000 z3.py:2560(is_int_value)
       16    0.000    0.000    0.000    0.000 z3.py:2787(as_string)
      192    0.000    0.000    0.006    0.000 z3.py:2930(_py2expr)
      912    0.001    0.000    0.010    0.000 z3.py:2942(IntSort)
      896    0.001    0.000    0.002    0.000 z3.py:2974(_to_int_str)
      896    0.002    0.000    0.028    0.000 z3.py:2989(IntVal)
       16    0.000    0.000    0.002    0.000 z3.py:3045(Int)
     7842    0.010    0.000    0.049    0.000 z3.py:307(__init__)
     7842    0.011    0.000    0.049    0.000 z3.py:312(__del__)
    23396    0.007    0.000    0.010    0.000 z3.py:362(ctx_ref)
     2704    0.005    0.000    0.033    0.000 z3.py:366(eq)
       96    0.000    0.000    0.000    0.000 z3.py:3724(is_bv)
     4848    0.001    0.000    0.002    0.000 z3.py:412(is_ast)
       16    0.000    0.000    0.000    0.000 z3.py:450(_ast_kind)
      864    0.002    0.000    0.003    0.000 z3.py:455(_ctx_from_ast_arg_list)
      336    0.001    0.000    0.001    0.000 z3.py:478(_to_ast_array)
      720    0.000    0.000    0.002    0.000 z3.py:508(_sort_kind)
    16132    0.010    0.000    0.054    0.000 z3.py:513(as_ast)
      720    0.000    0.000    0.003    0.000 z3.py:519(kind)
     6225    0.001    0.000    0.001    0.000 z3.py:56(z3_debug)
        5    0.000    0.000    0.000    0.000 z3.py:596(is_sort)
        1    0.000    0.000    0.000    0.000 z3.py:6004(__init__)
        1    0.000    0.000    0.000    0.000 z3.py:6010(__del__)
       16    0.000    0.000    0.000    0.000 z3.py:6021(eval)
       16    0.000    0.000    0.000    0.000 z3.py:6050(evaluate)
     1104    0.000    0.000    0.000    0.000 z3.py:64(_is_int)
        1    0.000    0.000    0.000    0.000 z3.py:6438(__init__)
        1    0.000    0.000    0.000    0.000 z3.py:6444(__eq__)
        1    0.000    0.000    0.000    0.000 z3.py:6480(__init__)
        1    0.000    0.000    0.001    0.001 z3.py:6493(__del__)
        1    0.000    0.000    0.011    0.011 z3.py:6585(assert_exprs)
        1    0.000    0.000    0.011    0.011 z3.py:6604(add)
        1    0.000    0.000    0.015    0.015 z3.py:6671(check)
        1    0.000    0.000    0.000    0.000 z3.py:6700(model)
        5    0.000    0.000    0.000    0.000 z3.py:787(is_func_decl)
     1280    0.000    0.000    0.001    0.000 z3.py:8104(is_probe)
      224    0.001    0.000    0.014    0.000 z3.py:8302(Sum)
      256    0.000    0.000    0.000    0.000 z3.py:8319(<lambda>)
    12192    0.001    0.000    0.001    0.000 z3.py:903(as_ast)
      256    0.001    0.000    0.027    0.000 z3.py:932(__eq__)
     5473    0.001    0.000    0.001    0.000 z3.py:94(_z3_assert)
    44467    0.034    0.000    0.038    0.000 z3core.py:1411(Check)
        1    0.000    0.000    0.000    0.000 z3core.py:1416(Z3_set_error_handler)
        1    0.000    0.000    0.000    0.000 z3core.py:1453(Z3_mk_config)
        1    0.000    0.000    0.000    0.000 z3core.py:1457(Z3_del_config)
        1    0.001    0.001    0.001    0.001 z3core.py:1467(Z3_mk_context_rc)
     7842    0.010    0.000    0.018    0.000 z3core.py:1474(Z3_inc_ref)
     7842    0.010    0.000    0.018    0.000 z3core.py:1478(Z3_dec_ref)
       16    0.000    0.000    0.000    0.000 z3core.py:1581(Z3_mk_string_symbol)
      402    0.001    0.000    0.001    0.000 z3core.py:1591(Z3_mk_bool_sort)
      912    0.001    0.000    0.002    0.000 z3core.py:1596(Z3_mk_int_sort)
       16    0.000    0.000    0.000    0.000 z3core.py:1682(Z3_mk_const)
       25    0.000    0.000    0.000    0.000 z3core.py:1706(Z3_mk_true)
      199    0.000    0.000    0.000    0.000 z3core.py:1711(Z3_mk_false)
      256    0.001    0.000    0.001    0.000 z3core.py:1716(Z3_mk_eq)
      400    0.001    0.000    0.001    0.000 z3core.py:1731(Z3_mk_ite)
